Date,Price
01/07/2024 08:00:00,145.00
01/07/2024 20:00:00,148.50
02/07/2024 08:00:00,142.75
02/07/2024 20:00:00,147.25
03/07/2024 08:00:00,149.50
03/07/2024 20:00:00,143.00
04/07/2024 08:00:00,146.75
04/07/2024 20:00:00,145.25
05/07/2024 08:00:00,147.50
05/07/2024 20:00:00,144.00
06/07/2024 08:00:00,145.75
06/07/2024 20:00:00,148.00
07/07/2024 08:00:00,149.25
07/07/2024 20:00:00,140.50
08/07/2024 08:00:00,143.75
08/07/2024 20:00:00,147.50
09/07/2024 08:00:00,141.50
09/07/2024 20:00:00,145.00
10/07/2024 08:00:00,148.75
10/07/2024 20:00:00,142.25
11/07/2024 08:00:00,147.00
11/07/2024 20:00:00,149.00
12/07/2024 08:00:00,144.25
12/07/2024 20:00:00,146.50
13/07/2024 08:00:00,148.00
13/07/2024 20:00:00,140.75
14/07/2024 08:00:00,142.50
14/07/2024 20:00:00,149.25
15/07/2024 08:00:00,146.00
15/07/2024 20:00:00,144.75
16/07/2024 08:00:00,143.50
16/07/2024 20:00:00,148.25
17/07/2024 08:00:00,145.75
17/07/2024 20:00:00,149.50
18/07/2024 08:00:00,147.25
18/07/2024 20:00:00,142.00
19/07/2024 08:00:00,149.00
19/07/2024 20:00:00,143.75
20/07/2024 08:00:00,141.50
20/07/2024 20:00:00,146.25
21/07/2024 08:00:00,148.00
21/07/2024 20:00:00,144.50
22/07/2024 08:00:00,149.25
22/07/2024 20:00:00,141.00
23/07/2024 08:00:00,145.75
23/07/2024 20:00:00,147.50
24/07/2024 08:00:00,140.25
24/07/2024 20:00:00,148.00
25/07/2024 08:00:00,146.75
25/07/2024 20:00:00,149.50
26/07/2024 08:00:00,142.25
26/07/2024 20:00:00,147.00
27/07/2024 08:00:00,148.75
27/07/2024 20:00:00,144.00
28/07/2024 08:00:00,149.50
28/07/2024 20:00:00,142.75
29/07/2024 08:00:00,141.00
29/07/2024 20:00:00,145.25
30/07/2024 08:00:00,148.00
30/07/2024 20:00:00,147.75
31/07/2024 08:00:00,144.50
31/07/2024 20:00:00,149.25
01/08/2024 08:00:00,140.00
01/08/2024 20:00:00,145.50
02/08/2024 08:00:00,147.75
02/08/2024 20:00:00,141.25
03/08/2024 08:00:00,143.50
03/08/2024 20:00:00,144.75
04/08/2024 08:00:00,146.25
04/08/2024 20:00:00,140.50
05/08/2024 08:00:00,142.75
05/08/2024 20:00:00,148.00
06/08/2024 08:00:00,147.25
06/08/2024 20:00:00,143.00
07/08/2024 08:00:00,141.50
07/08/2024 20:00:00,145.75
08/08/2024 08:00:00,147.00
08/08/2024 20:00:00,140.25
09/08/2024 08:00:00,144.50
09/08/2024 20:00:00,142.75
10/08/2024 08:00:00,143.25
10/08/2024 20:00:00,146.50
11/08/2024 08:00:00,141.75
11/08/2024 20:00:00,148.00
12/08/2024 08:00:00,140.50
12/08/2024 20:00:00,147.25
13/08/2024 08:00:00,145.00
13/08/2024 20:00:00,141.25
14/08/2024 08:00:00,144.75
14/08/2024 20:00:00,146.50
15/08/2024 08:00:00,140.25
15/08/2024 20:00:00,147.75
16/08/2024 08:00:00,142.00
16/08/2024 20:00:00,145.50
17/08/2024 08:00:00,148.25
17/08/2024 20:00:00,141.50
18/08/2024 08:00:00,146.75
18/08/2024 20:00:00,143.25
19/08/2024 08:00:00,144.50
19/08/2024 20:00:00,148.00
20/08/2024 08:00:00,147.75
20/08/2024 20:00:00,140.50
21/08/2024 08:00:00,145.25
21/08/2024 20:00:00,142.00
22/08/2024 08:00:00,148.50
22/08/2024 20:00:00,143.75
23/08/2024 08:00:00,147.00
23/08/2024 20:00:00,141.25
24/08/2024 08:00:00,144.50
24/08/2024 20:00:00,148.75
25/08/2024 08:00:00,146.00
25/08/2024 20:00:00,143.25
26/08/2024 08:00:00,147.75
26/08/2024 20:00:00,142.50
27/08/2024 08:00:00,144.25
27/08/2024 20:00:00,147.50
28/08/2024 08:00:00,141.75
28/08/2024 20:00:00,145.00
29/08/2024 08:00:00,143.25
29/08/2024 20:00:00,147.50
30/08/2024 08:00:00,142.75
30/08/2024 20:00:00,148.00
31/08/2024 08:00:00,141.50
31/08/2024 20:00:00,146.75
01/09/2024 08:00:00,133.00
01/09/2024 20:00:00,136.50
02/09/2024 08:00:00,135.25
02/09/2024 20:00:00,138.00
03/09/2024 08:00:00,137.75
03/09/2024 20:00:00,130.50
04/09/2024 08:00:00,132.25
04/09/2024 20:00:00,135.00
05/09/2024 08:00:00,134.75
05/09/2024 20:00:00,139.00
06/09/2024 08:00:00,131.25
06/09/2024 20:00:00,137.50
07/09/2024 08:00:00,133.75
07/09/2024 20:00:00,139.50
08/09/2024 08:00:00,132.50
08/09/2024 20:00:00,138.25
09/09/2024 08:00:00,137.00
09/09/2024 20:00:00,130.75
10/09/2024 08:00:00,136.50
10/09/2024 20:00:00,131.25
11/09/2024 08:00:00,135.00
11/09/2024 20:00:00,138.75
12/09/2024 08:00:00,133.25
12/09/2024 20:00:00,136.00
13/09/2024 08:00:00,134.75
13/09/2024 20:00:00,137.50
14/09/2024 08:00:00,138.25
14/09/2024 20:00:00,131.00
15/09/2024 08:00:00,135.75
15/09/2024 20:00:00,132.50
16/09/2024 08:00:00,137.00
16/09/2024 20:00:00,130.25
17/09/2024 08:00:00,136.50
17/09/2024 20:00:00,139.75
18/09/2024 08:00:00,134.00
18/09/2024 20:00:00,131.75
19/09/2024 08:00:00,138.50
19/09/2024 20:00:00,135.25
20/09/2024 08:00:00,133.00
20/09/2024 20:00:00,137.75
21/09/2024 08:00:00,134.50
21/09/2024 20:00:00,138.25
22/09/2024 08:00:00,136.00
22/09/2024 20:00:00,130.75
23/09/2024 08:00:00,137.25
23/09/2024 20:00:00,132.50
24/09/2024 08:00:00,139.00
24/09/2024 20:00:00,133.75
25/09/2024 08:00:00,136.50
25/09/2024 20:00:00,131.25
26/09/2024 08:00:00,138.00
26/09/2024 20:00:00,134.75
27/09/2024 08:00:00,133.50
27/09/2024 20:00:00,137.25
28/09/2024 08:00:00,136.00
28/09/2024 20:00:00,134.75
29/09/2024 08:00:00,139.50
29/09/2024 20:00:00,130.25
30/09/2024 08:00:00,132.00
30/09/2024 20:00:00,138.75
01/10/2024 08:00:00,133.75

